time_s,acceleration_m_s2,velocity_m_s,displacement_m
0.0,0.03004,-0.03694,0.00298
0.02,0.01962,-0.03641,0.0022400000000000002
0.04,0.01811,-0.03599,0.00151
0.06,0.04408,-0.03533,0.00079
0.08,0.053259999999999995,-0.034319999999999996,8.999999999999999e-05
0.1,0.04952,-0.03325,-0.0005899999999999999
0.12,0.054329999999999996,-0.03218,-0.00125
0.14,0.03565,-0.03124,-0.00189
0.16,0.03904,-0.030449999999999998,-0.00251
0.18,0.04085,-0.02962,-0.00312
0.2,0.028370000000000003,-0.028919999999999998,-0.0037
0.22,0.02028,-0.02833,-0.0042899999999999995
0.24,0.02292,-0.02779,-0.00486
0.26,0.00455,-0.02741,-0.005430000000000001
0.28,-0.02244,-0.02748,-0.00599
0.3,-0.09484,-0.02855,-0.00656
0.32,-0.12128,-0.030600000000000002,-0.007169999999999999
0.34,-0.054669999999999996,-0.03225,-0.00781
0.36,-0.02748,-0.03297,-0.00848
0.38,0.02266,-0.03291,-0.00916
0.4,0.05576,-0.03212,-0.00981
0.42,0.05112,-0.03088,-0.01046
0.44,0.13435,-0.028849999999999997,-0.01109
0.46,0.18297,-0.0255,-0.011659999999999998
0.48,0.05808,-0.02292,-0.012159999999999999
0.5,-0.040780000000000004,-0.02257,-0.01264
0.52,-0.13589,-0.024169999999999997,-0.01312
0.54,-0.24779,-0.02783,-0.01366
0.56,-0.22566,-0.03239,-0.01429
0.58,-0.17228000000000002,-0.0362,-0.015
0.6,-0.18705,-0.03979,-0.01576
0.62,-0.16117,-0.04303,-0.01662
0.64,-0.07527,-0.04516,-0.01754
0.66,0.026520000000000002,-0.045419999999999995,-0.01848
0.68,0.13359,-0.043579999999999994,-0.01941
0.7,0.13967000000000002,-0.04061,-0.02028
0.72,0.27942,-0.03618,-0.02109
0.74,0.44667,-0.028690000000000004,-0.02177
0.76,0.46405,-0.01934,-0.02228
0.78,0.40765999999999997,-0.01039,-0.02261
0.8,0.15875999999999998,-0.004719999999999999,-0.02276
0.82,-0.043550000000000005,-0.00328,-0.022869999999999998
0.84,-0.09754,-0.0044,-0.02298
