time_s,acceleration_m_s2,velocity_m_s,displacement_m
0.0,0.02632,-0.03891,0.00586
0.02,0.02365,-0.03837,0.00507
0.04,0.03026,-0.0378,0.0043
0.06,0.049429999999999995,-0.03696,0.0035499999999999998
0.08,0.04213,-0.03601,0.0028100000000000004
0.1,0.045570000000000006,-0.035089999999999996,0.00209
0.12,0.05924,-0.03401,0.0013900000000000002
0.14,0.044809999999999996,-0.03293,0.0007099999999999999
0.16,0.043019999999999996,-0.032010000000000004,5e-05
0.18,0.04134,-0.03113,-0.0005899999999999999
0.2,0.015009999999999999,-0.03056,-0.0012
0.22,0.01621,-0.030139999999999997,-0.00183
0.24,0.024390000000000002,-0.02963,-0.00246
0.26,-0.010409999999999999,-0.02939,-0.00307
0.28,-0.053529999999999994,-0.02992,-0.00369
0.3,-0.11981,-0.031549999999999995,-0.00433
0.32,-0.10533,-0.033690000000000005,-0.005
0.34,-0.054509999999999996,-0.03519,-0.005719999999999999
0.36,-0.0023,-0.03565,-0.0064600000000000005
0.38,0.07833,-0.034780000000000005,-0.007189999999999999
0.4,0.05811,-0.03342,-0.00787
0.42,0.06876,-0.03197,-0.00856
0.44,0.15961,-0.02952,-0.00922
0.46,0.13976,-0.02635,-0.00982
0.48,0.03294,-0.02445,-0.010369999999999999
0.5,-0.061130000000000004,-0.02456,-0.01089
0.52,-0.15978,-0.026600000000000002,-0.01145
0.54,-0.25368999999999997,-0.03056,-0.01206
0.56,-0.23809999999999998,-0.03531,-0.01275
0.58,-0.20387,-0.03956,-0.01355
0.6,-0.22624,-0.04385,-0.014379999999999999
0.62,-0.17596,-0.04764,-0.015349999999999999
0.64,-0.07761,-0.04994,-0.01638
0.66,0.05037,-0.049980000000000004,-0.01744
0.68,0.12902,-0.04795,-0.01848
0.7,0.19366,-0.04449,-0.019459999999999998
0.72,0.36146,-0.03871,-0.02036
0.74,0.48082,-0.03005,-0.021099999999999997
0.76,0.54337,-0.01957,-0.02166
0.78,0.40095,-0.009899999999999999,-0.022000000000000002
0.8,0.11953,-0.00469,-0.02214
0.82,-0.06205,-0.00382,-0.02228
0.84,-0.16605,-0.005809999999999999,-0.02244
0.86,-0.23806999999999998,-0.009559999999999999,-0.02266
0.88,-0.33423,-0.014990000000000002,-0.02297
0.9,-0.39737,-0.022019999999999998,-0.02341
0.92,-0.43436,-0.03004,-0.02399
0.94,-0.35503999999999997,-0.03765,-0.02474
0.96,-0.14428000000000002,-0.042350000000000006,-0.02561
0.98,0.19512000000000002,-0.041550000000000004,-0.02653
1.0,0.46515,-0.03494,-0.0273
1.02,0.55501,-0.024399999999999998,-0.027970000000000002
1.04,0.39277,-0.01458,-0.02843
1.06,0.22010000000000002,-0.008110000000000001,-0.028730000000000002
1.08,0.21617999999999998,-0.0034100000000000003,-0.028919999999999998
1.1,0.36095999999999995,0.00271,-0.029009999999999998
1.12,0.55137,0.01217,-0.02894
1.14,0.43601,0.02239,-0.02867
1.16,0.00946,0.02718,-0.028229999999999998
1.18,-0.49064,0.022709999999999998,-0.0278
1.2,-0.9864799999999999,0.007940000000000001,-0.027469999999999998
1.22,-1.13432,-0.01288,-0.0276
1.24,-0.72221,-0.031059999999999997,-0.028130000000000002
1.26,-0.1067,-0.03897,-0.028929999999999997
1.28,0.36375,-0.036019999999999996,-0.02978
1.3,0.54857,-0.02651,-0.03049
1.32,0.43581000000000003,-0.01629,-0.031
1.34,0.32758000000000004,-0.00827,-0.03132
1.36,0.40956000000000004,-0.00052,-0.03149
1.38,0.43105,0.00827,-0.0315
1.4,0.56717,0.018260000000000002,-0.03124
1.42,0.67755,0.031120000000000002,-0.030830000000000003
1.44,0.43193,0.04262,-0.03017
1.46,0.07066,0.04806,-0.02933
1.48,-0.20388,0.04714,-0.028450000000000003
1.5,-0.40924,0.041429999999999995,-0.027639999999999998
1.52,-0.26312,0.03511,-0.02697
1.54,-0.08654,0.032029999999999996,-0.02638
1.56,-0.06645,0.030910000000000003,-0.025840000000000002
1.58,-0.029249999999999998,0.030369999999999998,-0.025310000000000003
1.6,0.04857,0.03057,-0.024700000000000003
1.62,0.20079,0.03349,-0.02415
1.64,0.35313,0.03946,-0.02351
1.66,0.41023000000000004,0.04753,-0.022719999999999997
1.68,0.35841999999999996,0.055650000000000005,-0.02177
1.7,0.26029,0.062270000000000006,-0.02067
1.72,0.12134,0.06651,-0.019459999999999998
1.74,-0.18553999999999998,0.0663,-0.0182
1.76,-0.42633000000000004,0.06062,-0.017
1.78,-0.28395,0.05395,-0.01594
1.8,-0.00023,0.051109999999999996,-0.0149
1.82,0.18975,0.05345,-0.01394
1.84,0.38970999999999995,0.05968,-0.012889999999999999
1.86,0.45218,0.06854,-0.01168
1.88,0.31481000000000003,0.07665,-0.0103
1.9,0.20707,0.08231,-0.00878
1.92,0.00262,0.08485,-0.00718
1.94,-0.34178,0.0819,-0.005580000000000001
1.96,-0.55006,0.07342,-0.00409
1.98,-0.5454399999999999,0.06291000000000001,-0.0028000000000000004
2.0,-0.39382,0.053520000000000005,-0.00164
2.02,-0.1128,0.0489,-0.0007000000000000001
2.04,0.04259,0.04863000000000001,0.00021
2.06,0.03873,0.04989,0.0011200000000000001
2.08,0.06507,0.05137,0.00207
2.1,0.025230000000000002,0.05271,0.0030499999999999998
2.12,-0.07327,0.05267,0.00404
2.14,-0.01914,0.05219,0.00502
2.16,0.06112,0.05305,0.006
2.18,0.36655,0.05776,0.00703
2.2,0.69258,0.06836,0.00828
2.22,0.82379,0.08396,0.00975
2.24,0.76384,0.10026,0.01154
2.26,0.27519,0.11108000000000001,0.01361
2.28,-0.23919,0.11187,0.01581
2.3,-0.18422999999999998,0.10807,0.01795
2.32,0.1018,0.10768000000000001,0.02004
2.34,0.32789999999999997,0.11241,0.02218
2.36,0.33765999999999996,0.11949,0.02445
2.38,0.01693,0.12347,0.02683
2.4,-0.25786000000000003,0.12106,0.029289999999999997
2.42,-0.22873000000000002,0.11660999999999999,0.03162
2.44,0.36279000000000006,0.11837,0.03391
2.46,0.7979999999999999,0.13038,0.03635
2.48,0.721,0.14599,0.03907
2.5,0.4468,0.15808,0.04208
2.52,0.09000999999999999,0.16386,0.045279999999999994
2.54,-0.17887,0.16338,0.04852
2.56,-0.21138,0.15989,0.051710000000000006
2.58,-0.07538,0.15744,0.05484
2.6,-0.09746,0.15571,0.057969999999999994
2.62,-0.15289999999999998,0.15359,0.061040000000000004
2.64,-0.23974,0.15005000000000002,0.06405
2.66,-0.38582,0.14418,0.06698
2.68,-0.47403,0.13597,0.06976
2.7,-0.49853000000000003,0.12663,0.07236
2.72,-0.29710000000000003,0.11906,0.07478
2.74,0.15817,0.11806,0.07712
2.76,0.43634,0.12439,0.07951
2.78,0.3616,0.13275,0.08206
2.8,0.26022,0.13897,0.08478
2.82,0.24314,0.14436,0.0876
2.84,0.28269,0.14997,0.09053000000000001
2.86,0.31651,0.15631,0.09359
2.88,0.13385,0.16117,0.09676
2.9,-0.14752,0.16138000000000002,0.09998
2.92,-0.18783000000000002,0.15838,0.10317
2.94,-0.03077,0.15654,0.10631
2.96,0.31881,0.15977,0.10945
2.98,0.5856,0.16917000000000001,0.11272
3.0,0.51204,0.18015,0.11622
3.02,0.25121,0.18809,0.11991
3.04,-0.08701,0.19004000000000001,0.12371
3.06,-0.008060000000000001,0.1894,0.12750999999999998
3.08,0.43956,0.19402,0.13133
3.1,0.8903,0.20763,0.13534000000000002
3.12,0.9651000000000001,0.22649,0.13968
3.14,0.5381199999999999,0.24183,0.14439
3.16,-0.08765,0.24664999999999998,0.1493
3.18,-0.62641,0.23981000000000002,0.15417999999999998
3.2,-0.76911,0.22585999999999998,0.15884
3.22,-0.6628000000000001,0.2118,0.16324000000000002
3.24,-0.46521999999999997,0.20078,0.16737
3.26,-0.35905000000000004,0.1928,0.17132999999999998
3.28,-0.6348400000000001,0.18312,0.17511
3.3,-1.23346,0.16469,0.17862999999999998
3.32,-1.87077,0.13391,0.18166000000000002
3.34,-2.29505,0.09251,0.18395
3.36,-2.52059,0.044610000000000004,0.18535000000000001
3.38,-2.65389,-0.00688,0.18575
3.4,-3.11295,-0.06454,0.18505
3.42,-3.70171,-0.13248,0.18313
3.44,-4.21925,-0.21149,0.17974
3.46,-4.55509,-0.29902999999999996,0.17468
3.48,-4.69745,-0.39135,0.16781
3.5,-4.58221,-0.48394,0.15908
3.52,-4.58872,-0.57545,0.14852
3.54,-4.64378,-0.66757,0.13612
3.56,-4.65156,-0.76032,0.12186999999999999
3.58,-4.53887,-0.85202,0.10578
3.6,-4.3356200000000005,-0.9407599999999999,0.08784
3.62,-4.07535,-1.02473,0.06822
3.64,-4.00446,-1.10538,0.046959999999999995
3.66,-3.2855700000000003,-1.1781300000000001,0.02414
3.68,-2.3243899999999997,-1.2340900000000001,2e-05
3.7,-0.32499,-1.26044,-0.024940000000000004
3.72,3.54068,-1.22814,-0.04992
3.74,5.831950000000001,-1.13426,-0.07357999999999999
3.76,7.45636,-1.00124,-0.09494999999999999
3.78,7.7320899999999995,-0.84921,-0.11342
3.8,7.220510000000001,-0.6996800000000001,-0.12889
3.82,7.2749500000000005,-0.55464,-0.14139
3.84,6.78995,-0.4139,-0.15101
3.86,5.5933,-0.28998999999999997,-0.15796
3.88,3.79449,-0.19602,-0.16271000000000002
3.9,1.49024,-0.14309,-0.16597
3.92,-0.92388,-0.13734,-0.16865
3.94,-4.60064,-0.1925,-0.17177
3.96,-5.99643,-0.29839,-0.17659
3.98,-7.93347,-0.4376,-0.18383
4.0,-7.19586,-0.58889,-0.19412
4.02,-3.00226,-0.69085,-0.207
4.04,-1.06292,-0.7314700000000001,-0.22124
4.06,-0.056299999999999996,-0.74264,-0.23596
4.08,0.32624000000000003,-0.73991,-0.25074
4.1,1.10707,-0.72556,-0.26536000000000004
4.12,3.5894099999999995,-0.67857,-0.27943
4.14,7.27085,-0.56994,-0.29198
4.16,9.41663,-0.40304,-0.30173
4.18,10.69029,-0.20193999999999998,-0.30777
4.2,10.707650000000001,0.01204,-0.30967
4.22,10.01801,0.21927,-0.30727
4.24,9.199489999999999,0.41141,-0.30088000000000004
4.26,7.93481,0.58272,-0.29083
4.28,6.3512,0.72555,-0.27764
4.3,4.43279,0.83336,-0.26193
4.32,1.55666,0.89322,-0.24451
4.34,0.6388,0.91514,-0.22633
4.36,-5.9841,0.86166,-0.20829
4.38,-9.85115,0.70327,-0.19245
4.4,-9.75703,0.5072,-0.18035
4.42,-7.805879999999999,0.33148000000000005,-0.17196
4.44,-3.19962,0.22135000000000002,-0.16652999999999998
4.46,-0.95195,0.17975000000000002,-0.16253
4.48,0.08092,0.17095,-0.159
4.5,-0.21423999999999999,0.16954,-0.15552
4.52,-0.18201,0.16549,-0.15212
4.54,1.06547,0.17424,-0.1487
4.56,4.79667,0.23278,-0.14468999999999999
4.58,6.97227,0.35037999999999997,-0.13887
4.6,6.755170000000001,0.48766,-0.13049
4.62,4.76225,0.60271,-0.11946
4.64,2.51711,0.67537,-0.10654
4.66,0.21968,0.70261,-0.09263
4.68,-1.18584,0.69282,-0.07857
4.7,-2.66347,0.6542,-0.06498999999999999
4.72,-2.41439,0.60329,-0.05236
4.74,-1.82076,0.56081,-0.040679999999999994
4.76,-1.25904,0.52989,-0.029740000000000003
