time_s,acceleration_m_s2,velocity_m_s,displacement_m
0.0,0.1764,0.012190000000000001,0.00481
0.02,0.19867,0.01593,0.00509
0.04,0.18960000000000002,0.019790000000000002,0.00545
0.06,0.16036999999999998,0.02328,0.00588
0.08,0.01268,0.024990000000000002,0.00636
0.1,-0.14637,0.023639999999999998,0.00685
0.12,-0.45847,0.01757,0.0072699999999999996
0.14,-0.70336,0.00594,0.00751
0.16,-0.75413,-0.00865,0.00749
0.18,-0.37094,-0.01992,0.007189999999999999
0.2,0.05173,-0.02311,0.00674
0.22,-0.27975,-0.02544,0.00626
0.24,-0.44125,-0.0327,0.005679999999999999
0.26,0.32864,-0.03387,0.00498
0.28,0.99964,-0.020630000000000003,0.00441
0.3,1.08467,0.00016,0.00419
0.32,1.01648,0.02113,0.0044
0.34,0.12773,0.03253,0.00496
0.36,-0.85336,0.02522,0.00557
0.38,-0.65718,0.010069999999999999,0.0059099999999999995
0.4,-0.02477,0.0032500000000000003,0.00602
0.42,-0.70869,-0.00416,0.00602
0.44,-1.13968,-0.022719999999999997,0.0057599999999999995
0.46,-0.56641,-0.03985,0.0051
0.48,-0.70172,-0.052610000000000004,0.00417
0.5,-0.66443,-0.06634999999999999,0.00297
0.52,-0.15643,-0.07463,0.00154
0.54,0.5508500000000001,-0.07075999999999999,5e-05
0.56,1.13674,-0.05396,-0.00123
0.58,1.48088,-0.02786,-0.00207
0.6,1.2668000000000001,-0.00037999999999999997,-0.0023499999999999997
0.62,0.7770999999999999,0.01996,-0.00215
0.64,0.43716,0.032,-0.0016300000000000002
0.66,0.67117,0.04299,-0.0009
0.68,0.66499,0.05625,7.000000000000001e-05
0.7,0.29357,0.06573999999999999,0.0012900000000000001
0.72,-0.13869,0.06718,0.00262
0.74,-1.3705600000000002,0.05199,0.00384
0.76,-2.00569,0.01813,0.00454
0.78,-1.6974600000000002,-0.019,0.00451
0.8,-1.2088299999999998,-0.04806,0.00382
0.82,0.41088,-0.056159999999999995,0.0027
0.84,0.8744799999999999,-0.043429999999999996,0.00167
0.86,-0.11785,-0.03599,0.00089
0.88,0.055229999999999994,-0.03673,0.00014000000000000001
0.9,0.00912,-0.03621,-0.00061
0.92,0.7269199999999999,-0.02897,-0.00131
0.94,1.39555,-0.00787,-0.00172
0.96,1.24542,0.018420000000000002,-0.0016300000000000002
0.98,0.66869,0.03744,-0.00107
1.0,-0.08896000000000001,0.04324,-0.00024
1.02,-0.69703,0.03524,0.00054
1.04,-0.9873000000000001,0.018260000000000002,0.00106
1.06,-0.48264,0.0034200000000000003,0.00123
1.08,-0.16215,-0.00317,0.0011899999999999999
1.1,-0.82062,-0.01313,0.0010299999999999999
1.12,-0.84712,-0.02995,0.00057
1.14,0.6615000000000001,-0.031939999999999996,-0.00012
1.16,1.18819,-0.013580000000000002,-0.00062
1.18,1.76823,0.01584,-0.00065
1.2,1.5005899999999999,0.04853,1e-05
1.22,0.22625,0.06565,0.00116
1.24,0.0075,0.06784,0.00247
1.26,-0.9745,0.058019999999999995,0.00373
1.28,-1.7579,0.030539999999999998,0.00461
1.3,-1.5659999999999998,-0.0028499999999999997,0.00484
1.32,-1.0761100000000001,-0.02942,0.00447
1.34,0.13854,-0.03895,0.0037099999999999998
1.36,0.52701,-0.032440000000000004,0.00296
1.38,0.13772,-0.025939999999999998,0.0023499999999999997
1.4,0.34119,-0.021150000000000002,0.00188
1.42,1.47322,-0.00317,0.00156
1.44,2.78112,0.039220000000000005,0.00183
1.46,1.79478,0.08481999999999999,0.00307
1.48,0.31984999999999997,0.10581,0.00498
1.5,-0.53142,0.10354,0.00707
1.52,-1.76575,0.08041000000000001,0.00891
1.54,-1.1912099999999999,0.050679999999999996,0.01016
1.56,-0.60927,0.03252,0.01094
1.58,-1.03761,0.01589,0.011399999999999999
1.6,0.19523,0.00747,0.01159
1.62,-0.28794000000000003,0.00638,0.011699999999999999
1.64,-1.37679,-0.01043,0.01165
1.66,0.04217,-0.023929999999999996,0.01121
1.68,0.55609,-0.01811,0.01073
1.7,-0.11506999999999999,-0.013859999999999999,0.01039
1.72,0.82246,-0.006939999999999999,0.0101
1.74,0.94196,0.01054,0.010089999999999998
1.76,-1.64488,0.00335,0.01027
1.78,-2.15256,-0.034780000000000005,0.00993
1.8,-0.44646,-0.06077,0.00891
1.82,0.025019999999999997,-0.06514,0.00759
1.84,-0.1149,-0.0662,0.00623
1.86,0.37003,-0.0638,0.00486
1.88,-1.02856,-0.07055,0.0035199999999999997
1.9,-1.56162,-0.09661,0.00181
1.92,0.28159,-0.10955999999999999,-0.00035999999999999997
1.94,1.22275,-0.09468,-0.00249
1.96,1.49745,-0.06763,-0.00417
1.98,1.03769,-0.04244,-0.0053100000000000005
2.0,-0.34278,-0.03549,-0.00604
2.02,-0.46214,-0.04369,-0.006889999999999999
2.04,0.64972,-0.04196,-0.00784
2.06,0.91998,-0.02641,-0.008579999999999999
2.08,0.8873399999999999,-0.00849,-0.00899
2.1,0.32334,0.0034699999999999996,-0.00908
2.12,0.34103,0.00996,-0.009000000000000001
2.14,0.20649,0.01529,-0.0088
2.16,-1.03474,0.00685,-0.00859
2.18,-1.3158500000000002,-0.0168,-0.00874
2.2,-0.5566599999999999,-0.03553,-0.00928
2.22,-0.64331,-0.04766,-0.010169999999999998
2.24,-0.73469,-0.06158,-0.011319999999999998
2.26,0.37653,-0.0653,-0.01269
2.28,0.68841,-0.05479,-0.013959999999999998
2.3,0.28632,-0.04518,-0.015009999999999999
2.32,1.04676,-0.03199,-0.01586
2.34,1.1582999999999999,-0.01008,-0.01635
2.36,1.07707,0.01214,-0.01638
2.38,0.76771,0.030449999999999998,-0.01601
2.4,-0.12807000000000002,0.036840000000000005,-0.015309999999999999
2.42,-1.1493200000000001,0.02395,-0.01473
2.44,-0.65063,0.005829999999999999,-0.01451
2.46,0.93812,0.008579999999999999,-0.01448
2.48,-0.37777,0.01406,-0.01427
2.5,-1.37924,-0.00363,-0.014199999999999999
2.52,-0.87587,-0.026309999999999997,-0.01458
2.54,-0.54061,-0.04059,-0.01532
2.56,-0.84466,-0.05457,-0.016319999999999998
2.58,-0.84678,-0.07161,-0.01765
2.6,-1.14663,-0.09154,-0.01927
2.62,-0.08642,-0.10397,-0.021320000000000002
2.64,0.87251,-0.09622,-0.02342
2.66,0.63502,-0.08125,-0.025249999999999998
2.68,1.63418,-0.05866,-0.02675
2.7,1.43773,-0.02804,-0.02767
2.72,0.98956,-0.00387,-0.02804
2.74,0.94894,0.01541,-0.02799
2.76,-0.26035,0.022189999999999998,-0.027639999999999998
2.78,-0.73786,0.012110000000000001,-0.02734
2.8,-0.020390000000000002,0.00452,-0.027200000000000002
2.82,-0.77542,-0.0035199999999999997,-0.027229999999999997
2.84,-1.33936,-0.02475,-0.027559999999999998
2.86,-0.68524,-0.04508,-0.02834
2.88,-0.24741,-0.05448,-0.02941
2.9,0.57379,-0.0513,-0.03056
2.92,1.07985,-0.03485,-0.0315
2.94,0.43592,-0.01977,-0.03209
2.96,-0.18518,-0.01735,-0.03251
2.98,0.2627,-0.01665,-0.03293
3.0,1.1494199999999999,-0.00253,-0.03315
3.02,1.65529,0.025459999999999997,-0.033
3.04,1.31557,0.05511,-0.032240000000000005
3.06,0.85958,0.0768,-0.03097
3.08,1.6219999999999999,0.10156000000000001,-0.02927
3.1,2.0153499999999998,0.13788,-0.026949999999999998
3.12,1.76619,0.17562999999999998,-0.02387
3.14,1.27635,0.20600000000000002,-0.020099999999999996
3.16,0.16091999999999998,0.22032,-0.01586
3.18,-0.6696,0.21517,-0.01154
3.2,-0.54382,0.20304,-0.00736
3.22,-0.31434999999999996,0.19442,-0.00345
3.24,-0.6530800000000001,0.18472000000000002,0.00029
3.26,-0.53896,0.17276,0.00381
3.28,0.06824,0.16802,0.00714
3.3,0.06145,0.16929,0.01045
3.32,-0.5624600000000001,0.16425,0.01375
3.34,-1.1915,0.14668,0.016819999999999998
3.36,-1.2165300000000001,0.12256,0.019459999999999998
3.38,-0.30434,0.10732,0.02167
3.4,0.58832,0.11016,0.02382
3.42,0.16172999999999998,0.11766,0.02606
3.44,-0.80574,0.11121,0.028319999999999998
3.46,-0.90354,0.09411,0.03033
3.48,-0.39925,0.08108,0.032010000000000004
3.5,-0.32286000000000004,0.07385,0.03351
3.52,-0.69062,0.06371,0.03484
3.54,-1.4030699999999998,0.04277,0.03588
3.56,-1.8563800000000001,0.010169999999999998,0.03637
3.58,-2.05809,-0.028980000000000002,0.03614
3.6,-2.23725,-0.07194,0.03513
3.62,-1.99205,-0.11420999999999999,0.03322
3.64,-0.5861500000000001,-0.13997,0.03058
3.66,1.01705,-0.13564,0.02773
3.68,1.213,-0.11332,0.02519
3.7,0.89852,-0.09218,0.0231
3.72,0.29261,-0.08025,0.021349999999999997
3.74,-0.49584000000000006,-0.08226000000000001,0.0197
3.76,-0.87669,-0.09597,0.01789
3.78,-0.56919,-0.11041000000000001,0.01577
3.8,-0.72399,-0.12333999999999999,0.01344
3.82,-0.00398,-0.13057,0.01083
3.84,1.03007,-0.12026999999999999,0.00825
3.86,0.5737599999999999,-0.10418,0.00599
3.88,1.07036,-0.0877,0.0040100000000000005
3.9,1.67598,-0.06019,0.00248
3.92,1.80118,-0.02537,0.00158
3.94,0.91381,0.00182,0.00133
3.96,0.19408,0.01295,0.00147
3.98,0.01718,0.0151,0.00172
4.0,0.27777999999999997,0.01805,0.0020399999999999997
4.02,0.45374000000000003,0.02544,0.00244
