Time_s,Acceleration_m_per_s2,Velocity_m_per_s,Displacement_m
0,0.00838,-0.0423,-0.000846
0.02,0.00582,-0.04212,-0.0016884
0.04,0.03491,-0.04167,-0.0025218
0.06,0.05228,-0.04075,-0.0033368
0.08,0.05177,-0.03967,-0.0041302
0.1,0.06143,-0.03849,-0.0049
0.12,0.0632,-0.03721,-0.0056442
0.14,0.07826,-0.03575,-0.0063592
0.16,0.09695,-0.03395,-0.0070382
0.18,0.06993,-0.03224,-0.007683
0.2,-0.00106,-0.03155,-0.008314
0.22,-0.0048,-0.03149,-0.0089438
0.24,-0.00626,-0.03148,-0.0095734
0.26,-0.03923,-0.03181,-0.0102096
0.28,-0.08051,-0.03289,-0.0108674
0.3,-0.15403,-0.03512,-0.0115698
0.32,-0.13749,-0.03792,-0.0123282
0.34,-0.02603,-0.03943,-0.0131168
0.36,0.07085,-0.03886,-0.013894
0.38,0.08058,-0.03723,-0.0146386
0.4,0.0438,-0.03598,-0.0153582
0.42,0.12723,-0.03408,-0.0160398
0.44,0.23021,-0.03031,-0.016646
0.46,0.14128,-0.0264,-0.017174
0.48,0.02849,-0.02451,-0.0176642
0.5,-0.0685,-0.02471,-0.0181584
0.52,-0.13039,-0.02651,-0.0186886
0.54,-0.15072,-0.02913,-0.0192712
0.56,-0.20673,-0.03251,-0.0199214
0.58,-0.30546,-0.03743,-0.02067
0.6,-0.36521,-0.04414,-0.0215528
0.62,-0.32738,-0.0508,-0.0225688
0.64,-0.24378,-0.05624,-0.0236936
0.66,-0.03604,-0.05878,-0.0248692
0.68,0.10146,-0.05786,-0.0260264
0.7,0.3176,-0.05341,-0.0270946
0.72,0.53992,-0.04457,-0.027986
0.74,0.64805,-0.03242,-0.0286344
0.76,0.68319,-0.01885,-0.0290114
0.78,0.57101,-0.00604,-0.0291322
0.8,0.41371,0.00381,-0.029056
0.82,0.14063,0.00968,-0.0288624
0.84,-0.21026,0.00932,-0.028676
0.86,-0.39391,0.0036,-0.028604
0.88,-0.59664,-0.00598,-0.0287236
0.9,-0.64466,-0.01806,-0.0290848
0.92,-0.49143,-0.02909,-0.0296666
0.94,-0.51573,-0.03884,-0.0304434
0.96,-0.37577,-0.04742,-0.0313918
0.98,-0.14802,-0.05234,-0.0324386
1,0.37613,-0.05005,-0.0334396
1.02,0.78314,-0.03807,-0.034201
1.04,0.81649,-0.02169,-0.0346348
1.06,0.70048,-0.00614,-0.0347576
